시설명,소재지도로명주소,소재지지번주소,위도,경도,업종명,전문처리분야명,처리폐기물정보,영업구역,시설·장비명,허가일자,전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-99-00,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-27-02,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-21-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-20-99,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-14-02,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-14-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-08-06,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-08-04,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-07-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-06-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-05-99,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-04-99,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-04-02,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-04-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-03-02,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-03-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-02-99,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-02-19,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-02-02,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)에이치쓰리,경상남도 창원시 진해구 안골로 77 (안골동),,35.09206189,128.7891113,폐기물수집및운반업,,51-02-01,,,2020-02-14,055-552-2225,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-21-01,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-12-01,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-06-02,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-06-01,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-05-99,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-04-99,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
제이제이산업개발,"경상남도 창원시 진해구 월남로 142, 104동 13층 1301호 (남양동, 남양 에스티엑스칸)",,35.11998642,128.7803962,폐기물수집및운반업,,51-02-99,,,2017-07-04,055-551-3115,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)대주산업개발,"경상남도 창원시 진해구 진해대로1041번길 39, 304호 (풍호동, 시영아파트)",,35.13671166,128.7123726,폐기물수집및운반업,,51-21-01,,,2017-06-01,055-547-0401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)대주산업개발,"경상남도 창원시 진해구 진해대로1041번길 39, 304호 (풍호동, 시영아파트)",,35.13671166,128.7123726,폐기물수집및운반업,,51-12-01,,,2017-06-01,055-547-0401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)대주산업개발,"경상남도 창원시 진해구 진해대로1041번길 39, 304호 (풍호동, 시영아파트)",,35.13671166,128.7123726,폐기물수집및운반업,,51-02-99,,,2017-06-01,055-547-0401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)한국클린산업,"경상남도 창원시 진해구 용재로 98, 1층 (용원동)",,35.1001854,128.8202694,폐기물수집및운반업,,91-04-00,,,2017-03-21,055-546-9833,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)한국클린산업,"경상남도 창원시 진해구 용재로 98, 1층 (용원동)",,35.1001854,128.8202694,폐기물수집및운반업,,51-29-03,,,2017-03-21,055-546-9833,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)한국클린산업,"경상남도 창원시 진해구 용재로 98, 1층 (용원동)",,35.1001854,128.8202694,폐기물수집및운반업,,51-03-01,,,2017-03-21,055-546-9833,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
에스엠산업,경상남도 창원시 진해구 웅동로 208 (두동),,35.11593375,128.7916771,폐기물수집및운반업,,51-29-99,,,2014-08-05,055-542-4401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
에스엠산업,경상남도 창원시 진해구 웅동로 208 (두동),,35.11593375,128.7916771,폐기물수집및운반업,,51-06-01,,,2014-08-05,055-542-4401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
에스엠산업,경상남도 창원시 진해구 웅동로 208 (두동),,35.11593375,128.7916771,폐기물수집및운반업,,51-05-99,,,2014-08-05,055-542-4401,경상남도 창원시 진해구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-27-99,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-27-02,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-27-01,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-20-99,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-20-11,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-99,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-07,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-06,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-04,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-03,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-02,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)남도환경,"경상남도 창원시 마산회원구 양덕옛2길 73 (석전동, 석전오피스텔)",,35.2313472,128.5781464,폐기물수집및운반업,,51-03-01,,,2017-07-19,055-312-7793,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-99-00,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-20-99,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-06-99,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-03-01,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-02-06,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-02-05,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-02-04,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
대부개발(주),경상남도 창원시 마산회원구 내서읍 수곡로 6-103,,35.26198462,128.5119967,폐기물수집및운반업,,51-01-02,,,2015-04-30,055-223-2222,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
수정환경,경상남도 창원시 마산회원구 봉암북13길 13 (봉암동),,35.21888515,128.6034525,폐기물수집및운반업,,51-07-01,,,2014-07-10,055-253-0683,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
수정환경,경상남도 창원시 마산회원구 봉암북13길 13 (봉암동),,35.21888515,128.6034525,폐기물수집및운반업,,51-04-00,,,2014-07-10,055-253-0683,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-99-00,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-33-00,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-31-00,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-30-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-30-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-30-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-21-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-17-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-13-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-12-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-11-03,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-11-02,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-11-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-10-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-09-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-06,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-05,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-03,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-02,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-08-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-07-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-06-03,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-06-02,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-06-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-05-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-04-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-03-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-03-03,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-03-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-19,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-04,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-03,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-02,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-02-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-01-99,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-01-08,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-01-06,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-01-02,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)에코원,"경상남도 창원시 마산회원구 북성로 500-1, 2층 2호 (두척동)",,35.23801829,128.5438452,폐기물수집및운반업,,51-01-01,,,2012-10-18,055-231-5244,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
(주)지구환경,"경상남도 창원시 마산회원구 봉암공단14길 5, (봉암동)",,35.2117915,128.5996569686,폐기물수집및운반업,,51-29-99,,,2007-03-08,055-264-6661,경상남도 창원시 마산회원구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-99-00,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-33-00,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-20-99,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-20-01,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-12-01,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-05-99,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-04-99,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-03-02,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-03-01,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
천지환경산업(주),"경상남도 창원시 마산합포구 현동7길 43, 센스빌딩 202층 (현동)",,35.15056456,128.5533846,폐기물수집및운반업,,51-02-19,,,2021-09-09,055-248-8572,경상남도 창원시 마산합포구청,2025-02-13,5670000,경상남도 창원시
